Plant,Posting Date,Work Center,,Machine Number,Grade,Material,,MFG Part Number,Order,Employee Number,Shifts,Order Count,"Operation 
Count","Confirmed
Qty","Scrap
Actual","Setup 
Plan","Machining
Plan","Machining
Actual","Labor 
Plan","Labor
Actual","Activity 4
Actual","Activity 4
Plan","Activity 5
Actual","Activity 5
Plan","Activity 6
Actual","Activity 6
Plan"
OR01,01.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC520M,3753593,MILL 1-10 INSERT R=0.8,#,115195942,63928,2,1,1,640,23,0.5,1.86,4.2,,4.2,,,,,,
OR01,01.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCU10,3769370,SCREW ON FP LIGHT FINISHING INSERT,#,115101919,63877,3,1,1,740,32,0.5,1.54,0.9,,0.9,,,,,,
OR01,01.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,KC5010,1832295,INS. KENLOC MP MEDIUM POSITIVE,#,115187422,63877,3,1,1,"1,020",10,0.5,4.02,0.48,,0.48,,,,,,
OR01,01.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,KCM25,3760294,SCREW ON LF LIGHT FINISHING INSERT,#,115187472,63877,2,1,1,"1,140",12,0.42,2.19,3.53,,3.53,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KC730,1161927,SCREW ON LF LIGHT FINISHING INSERT,#,115190870,21161,1,1,1,476,7,0.5,1.4,0.83,,0.83,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KC730,1161927,SCREW ON LF LIGHT FINISHING INSERT,#,115190870,21227,1,1,1,264,16,0.5,0.81,0.2,,0.2,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KT315,1869974,SCREW ON LF LIGHT FINISHING INSERT,#,115190871,21161,2,1,1,"1,170",26,0.5,2.03,1.95,,1.95,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KTP10,3769065,SCREW ON FP LIGHT FINISHING INSERT,#,115186769,21161,1,1,1,264,11,0.5,0.55,0.1,,0.1,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KTP10,3769065,SCREW ON FP LIGHT FINISHING INSERT,#,115186769,21161,2,1,1,,,X,,,,,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,TN10U,4166634,POSITIVE INSERT,#,115186763,21227,3,1,1,"1,132",26,0.42,2.66,1.8,,1.8,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP10,3749342,KENLOC CT PROFILING GEOMETRY,#,115195927,21227,3,1,1,850,19,0.5,2,1.42,,1.42,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP10,3749476,KENLOC MN MEDIUM NEGATIVE INSERT,#,115195921,21161,1,1,1,340,13,0.5,0.67,0.32,,0.32,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP10B,5535041,KENLOC CT PROFILING GEOMETRY,#,115195928,21161,1,1,1,260,5,0.5,0.61,0.17,,0.17,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP10B,5535041,KENLOC CT PROFILING GEOMETRY,#,115195928,21227,1,1,1,200,4,0.5,0.47,0.08,,0.08,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP25,3753447,KENLOC MN MEDIUM NEGATIVE INSERT,#,115195922,21161,1,1,1,455,14,0.5,0.89,0.22,,0.22,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP25B,5694120,KENLOC MN MEDIUM NEGATIVE INSERT,#,115195923,21161,2,1,1,565,8,0.42,1.09,0.7,,0.7,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCU25,4050489,KENLOC MS MEDIUM SHARP INSERT,#,115187488,21161,2,1,1,290,10,0.5,0.69,1.95,,1.95,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,WP15CT,4171019,NEGATIVE INSERT GEO RH,#,115187529,21227,3,1,1,300,13,0.5,0.72,2.07,,2.07,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,KC5010,2229651,KENLOC MS MEDIUM  SHARP INSERT,#,115195863,63508,2,1,1,370,4,0.5,0.86,2.83,,2.83,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,KC5010,2244914,KENLOC MS MEDIUM SHARP INSERT,#,115187524,21044,1,1,1,352,5,0.5,0.82,0.83,,0.53,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,KCU10,5090856,KENLOC MS MEDIUM SHARP INSERT,#,115187523,21044,1,1,1,440,27,0.5,1.07,2.47,,1.53,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,KCU25,4050400,KENLOC MP MEDIUM POSITIVE INSERT,#,115195864,21044,2,1,1,280,50,0.5,0.76,1.25,,0.62,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,WP25CT,4171532,NEGATIVE INSERT GEO RH,#,115187498,63928,3,1,1,570,17,0.5,1.64,2.22,,2.22,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,WP25CT,4171532,NEGATIVE INSERT GEO RH,#,115187499,63928,3,1,1,570,14,0.5,1.64,2.48,,2.48,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC422M,3649188,MILL 1-10 INSERT R=0.8,#,115195931,21044,2,1,1,570,20,0.5,1.65,2.47,,2.08,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC422M,3649188,MILL 1-10 INSERT R=0.8,#,115195932,21044,2,1,1,570,8,0.5,1.62,0.4,,0.2,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC522M,3649190,MILL 1-10 INSERT R=0.8,#,115190887,21044,2,1,1,640,8,0.5,1.81,1.8,,1.23,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,KCPK30,3766024,MILL 1-10 INSERT R=2.0,#,115190888,63508,3,1,1,480,13,0.5,1.38,0.02,,0.02,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,KCPM20,3954572,MILL 1-10 INSERT R=0.8,#,115190957,21044,2,1,1,200,2,0.5,0.57,0.25,,0.12,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,KCPM20,3954572,MILL 1-10 INSERT R=0.8,#,115190957,63508,2,1,1,440,4,0.5,1.24,0.02,,0.02,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,WP25PM,5980399,VSM11 MILLING INSERT R=2.0 MM,#,115186890,21044,1,1,1,320,10,0.5,0.92,1.93,,1.68,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,WP35CM,5980400,VSM11 MILLING INSERT R=2.0 MM,#,115186889,21044,1,1,2,320,11,0.5,0.93,1.28,,1.17,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,WP40PM,5980398,VSM11 MILLING INSERT R=2.0 MM,#,115186891,21044,1,1,1,640,13,0.5,1.83,1.73,,0.87,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCM15B,5641094,SCREW ON MF MEDIUM FINISHING INSERT,#,115190878,63877,3,1,1,570,17,0.5,1.17,0.57,,0.57,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCM25,3744919,SCREW ON MP MEDIUM POSITIVE INSERT,#,115195679,63877,3,1,1,"1,140",18,0.5,2.32,1.9,,1.9,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCP10B,5697960,SCREW ON LF LIGHT FINISHING INSERT,#,115190879,21269,2,1,1,"1,150",28,0.5,2.36,3.22,,3.22,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCP10B,5697960,SCREW ON LF LIGHT FINISHING INSERT,#,115190880,21269,2,1,1,530,6,0.5,1.07,0.02,,0.02,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCP10B,5697960,SCREW ON LF LIGHT FINISHING INSERT,#,115190880,63877,2,1,1,610,6,0.5,1.23,1.97,,1.97,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,WK20CT,4170239,POSITIVE INSERT GEO MP,#,115195860,21269,1,1,1,"1,160",20,0.5,2.36,1.87,,1.87,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCM15,3769111,SCREW ON FP LIGHT FINISHING INSERT,#,115195909,20648,1,1,1,343,4,0.5,0.69,0.93,,0.47,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP10,3769012,SCREW ON FP LIGHT FINISHING INSERT,#,115195906,63508,3,1,1,"1,170",20,0.5,2.38,5.5,,5.5,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,WM15CT,4168765,POSITIVE INSERT GEO FP,#,115195911,63508,3,1,1,"1,170",6,0.5,2.35,2.77,,2.77,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,WM15CT,4168765,POSITIVE INSERT GEO FP,#,115195912,63928,3,1,1,"1,170",12,0.5,2.36,2.78,,2.78,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,WM15CT,4168765,POSITIVE INSERT GEO FP,#,115195913,20648,1,1,1,"1,170",13,0.5,2.37,3.27,,1.63,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,WP25CT,4170303,POSITIVE INSERT GEO FP,#,115030124,20648,2,1,1,692,6,0.5,1.4,2.52,,1.28,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,WP25CT,4170303,POSITIVE INSERT GEO FP,#,115186766,20648,2,1,1,740,17,0.5,1.51,3.22,,2.15,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,KC730,1159618,KENLOC CHIP CONTROL INSERT,#,115190475,63877,3,1,1,50,8,0.5,0.13,2.43,,2.43,,,,,,
