plant,date,work_center,,machine,order,grade,emp,shift,qty,scrap,setup_plan,machine_plan,machine_actual,labor_plan
OR01,01.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,115195942,KC520M,63928,2,640,23,0.50,1.86,4.20,4.20
OR01,01.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,115101919,KCU10,63877,3,740,32,0.50,1.54,0.90,0.90
OR01,01.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,115187422,KC5010,63877,3,"1,020",10,0.50,4.02,0.48,0.48
OR01,01.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115187472,KCM25,63877,2,"1,140",12,0.42,2.19,3.53,3.53
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,115186763,TN10U,21227,3,"1,132",26,0.42,2.66,1.80,1.80
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,115186769,KTP10,21161,1,264,11,0.50,0.55,0.10,0.10
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,115186769,KTP10,21161,2,,,X,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,115190870,KC730,21161,1,476,7,0.50,1.40,0.83,0.83
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,115190870,KC730,21227,1,264,16,0.50,0.81,0.20,0.20
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,115190871,KT315,21161,2,"1,170",26,0.50,2.03,1.95,1.95
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,115187488,KCU25,21161,2,290,10,0.50,0.69,1.95,1.95
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,115187529,WP15CT,21227,3,300,13,0.50,0.72,2.07,2.07
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,115195921,KCP10,21161,1,340,13,0.50,0.67,0.32,0.32
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,115195922,KCP25,21161,1,455,14,0.50,0.89,0.22,0.22
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,115195923,KCP25B,21161,2,565,8,0.42,1.09,0.70,0.70
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,115195927,KCP10,21227,3,850,19,0.50,2.00,1.42,1.42
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,115195928,KCP10B,21161,1,260,5,0.50,0.61,0.17,0.17
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,115195928,KCP10B,21227,1,200,4,0.50,0.47,0.08,0.08
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,115187498,WP25CT,63928,3,570,17,0.50,1.64,2.22,2.22
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,115187499,WP25CT,63928,3,570,14,0.50,1.64,2.48,2.48
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,115187523,KCU10,21044,1,440,27,0.50,1.07,2.47,1.53
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,115187524,KC5010,21044,1,352,5,0.50,0.82,0.83,0.53
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,115195863,KC5010,63508,2,370,4,0.50,0.86,2.83,2.83
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,115195864,KCU25,21044,2,280,50,0.50,0.76,1.25,0.62
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,115186889,WP35CM,21044,1,320,11,0.50,0.93,1.28,1.17
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,115186890,WP25PM,21044,1,320,10,0.50,0.92,1.93,1.68
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,115186891,WP40PM,21044,1,640,13,0.50,1.83,1.73,0.87
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,115190887,KC522M,21044,2,640,8,0.50,1.81,1.80,1.23
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,115190888,KCPK30,63508,3,480,13,0.50,1.38,0.02,0.02
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,115190957,KCPM20,21044,2,200,2,0.50,0.57,0.25,0.12
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,115190957,KCPM20,63508,2,440,4,0.50,1.24,0.02,0.02
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,115195931,KC422M,21044,2,570,20,0.50,1.65,2.47,2.08
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,115195932,KC422M,21044,2,570,8,0.50,1.62,0.40,0.20
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,115190878,KCM15B,63877,3,570,17,0.50,1.17,0.57,0.57
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,115190879,KCP10B,21269,2,"1,150",28,0.50,2.36,3.22,3.22
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,115190880,KCP10B,21269,2,530,6,0.50,1.07,0.02,0.02
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,115190880,KCP10B,63877,2,610,6,0.50,1.23,1.97,1.97
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,115195679,KCM25,63877,3,"1,140",18,0.50,2.32,1.90,1.90
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,115195860,WK20CT,21269,1,"1,160",20,0.50,2.36,1.87,1.87
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,115030124,WP25CT,20648,2,692,6,0.50,1.40,2.52,1.28
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,115186766,WP25CT,20648,2,740,17,0.50,1.51,3.22,2.15
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,115195906,KCP10,63508,3,"1,170",20,0.50,2.38,5.50,5.50
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,115195909,KCM15,20648,1,343,4,0.50,0.69,0.93,0.47
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,115195911,WM15CT,63508,3,"1,170",6,0.50,2.35,2.77,2.77
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,115195912,WM15CT,63928,3,"1,170",12,0.50,2.36,2.78,2.78
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,115195913,WM15CT,20648,1,"1,170",13,0.50,2.37,3.27,1.63
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,115187525,KT315,20648,1,815,7,0.50,1.89,2.87,1.52
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,115187525,KT315,63877,1,325,9,0.50,0.77,0.13,0.13
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,115187526,KT315,20648,1,"1,140",10,0.50,2.65,4.42,3.00
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,115190475,KC730,63877,3,50,8,0.50,0.13,2.43,2.43
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,115195983,KCP25,20648,2,"1,140",17,0.42,2.20,3.27,1.63
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,115195984,KCP25,63877,3,"1,140",11,0.42,2.19,0.87,0.87
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115186761,KCK20,21269,1,"1,050",10,0.42,2.01,2.92,2.92
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115187470,K10U,21269,1,"1,050",44,0.50,2.19,2.58,2.58
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115187471,KCM25B,63877,3,"1,140",11,0.42,2.19,1.52,1.52
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115187473,KCK20,63877,3,"1,140",19,0.42,2.20,1.02,1.02
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115195903,KC5010,21269,2,,30,0.50,0.06,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115195904,KC5010,21269,2,316,3,0.50,0.64,0.32,0.32
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115195904,KC5010,63877,2,844,9,0.50,1.71,1.70,1.70
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,115186298,KTP10,21161,1,924,41,0.50,1.93,0.60,0.60
